Date,July
11/1/19,970.75
10/31/19,967.25
10/30/19,965.25
10/29/19,968.25
10/28/19,969
10/25/19,967
10/24/19,976.75
10/23/19,976.5
10/22/19,976.75
10/21/19,975.5
10/18/19,976
10/17/19,973.5
10/16/19,972.25
10/15/19,976.25
10/14/19,980.5
10/11/19,976.75
10/10/19,968.5
10/9/19,968.75
10/8/19,965.5
10/7/19,959
10/4/19,958.25
10/3/19,954.75
10/2/19,956.5
10/1/19,956.5
9/30/19,947
9/27/19,929.5
9/26/19,934.25
9/25/19,933.5
9/24/19,936.5
9/23/19,935
9/20/19,928.75
9/19/19,937.5
9/18/19,936
9/17/19,939.75
9/16/19,945.5
9/13/19,943
9/12/19,941.25
9/11/19,916.25
9/10/19,920.75
9/9/19,908.5
9/6/19,907.75
9/5/19,909.5
9/4/19,922
9/3/19,915.5
8/30/19,914.25
8/29/19,914.75
8/28/19,913
8/27/19,908
8/26/19,914.75
8/23/19,908.25
8/22/19,917.25
8/21/19,922
8/20/19,917.5
8/19/19,916.5
8/16/19,928
8/15/19,919
8/14/19,925.75
8/13/19,935.75
8/12/19,927.75
8/9/19,937.25
8/8/19,929
8/7/19,913.75
8/6/19,913.5
8/5/19,916.75
8/2/19,917.25
8/1/19,915.25
7/31/19,931.75
7/30/19,944
7/29/19,948.75
7/26/19,945.25
7/25/19,943.75
7/24/19,949.25
7/23/19,944.25
7/22/19,945.5
7/19/19,956.5
7/18/19,938.75
7/17/19,939.5
7/16/19,944.5
7/15/19,956
7/12/19,966
7/11/19,955
7/10/19,950.75
7/9/19,943.5
7/8/19,936.25
7/5/19,933
7/3/19,946
7/2/19,936.75
7/1/19,944.5
6/28/19,955
6/27/19,945.75
6/26/19,947.75
6/25/19,955
6/24/19,963.25
6/21/19,957.75
6/20/19,969.75
6/19/19,956.5
6/18/19,961.75
6/17/19,962.25
6/14/19,952
6/13/19,948.5
6/12/19,943.25
6/11/19,930.25
6/10/19,928.75
6/7/19,924.75
6/6/19,933.75
6/5/19,935
6/4/19,944.25
6/3/19,939.5
5/31/19,937
5/30/19,945.25
5/29/19,932.75
5/28/19,921.75
5/24/19,898.75
5/23/19,893
5/22/19,896.75
5/21/19,890
5/20/19,899.5
5/17/19,890
5/16/19,907.5
5/15/19,904
5/14/19,903.25
5/13/19,878
5/10/19,881.75
5/9/19,882.5
5/8/19,894
5/7/19,895.75
5/6/19,897
5/3/19,905
5/2/19,904.5
5/1/19,911.25
4/30/19,912.5
4/29/19,917.25
4/26/19,924.25
4/25/19,929.75
4/24/19,926
4/23/19,932.75
4/22/19,944
4/18/19,947.5
4/17/19,946.25
4/16/19,954
4/15/19,962.75
4/12/19,959.75
4/11/19,960.5
4/10/19,966
4/9/19,964
4/8/19,964.5
4/5/19,965.25
4/4/19,969.75
4/3/19,962.5
4/2/19,963
4/1/19,955.75
3/29/19,945.75
3/28/19,950
3/27/19,950.75
3/26/19,960
3/25/19,964.25
3/22/19,962
3/21/19,971.75
3/20/19,968.25
3/19/19,967.5
3/18/19,967.25
3/15/19,970.25
3/14/19,962.75
3/13/19,966
3/12/19,962.25
3/11/19,955.75
3/8/19,959.5
3/7/19,964
3/6/19,967.75
3/5/19,978.5
3/4/19,978.25
3/1/19,972.5
2/28/19,971.75
2/27/19,976
2/26/19,975.75
2/25/19,980
2/22/19,980.25
2/21/19,980.25
2/20/19,975.75
2/19/19,973.5
2/15/19,979
2/14/19,975.25
2/13/19,985.25
2/12/19,987.75
2/11/19,976.5
2/8/19,982.75
2/7/19,982.25
2/6/19,988.5
2/5/19,984.5
2/4/19,982.75
2/1/19,982.25
1/31/19,981.25
1/30/19,984.25
1/29/19,983
1/28/19,986
1/25/19,988.75
1/24/19,983.5
1/23/19,984.25
1/22/19,980.75
1/18/19,986.25
1/17/19,979.25
1/16/19,972
1/15/19,972.75
1/14/19,980.5
1/11/19,985
1/10/19,980.75
1/9/19,993.5
1/8/19,988.5
1/7/19,990.5
1/4/19,988.5
1/3/19,980.75
1/2/19,978
12/31/18,970.5