Date,March
11/1/19,949.25
10/31/19,945.25
10/30/19,943.5
10/29/19,946.25
10/28/19,947.75
10/25/19,946.75
10/24/19,958.5
10/23/19,959.5
10/22/19,959.75
10/21/19,959
10/18/19,959.25
10/17/19,957
10/16/19,954.5
10/15/19,959.25
10/14/19,965
10/11/19,961
10/10/19,949.5
10/9/19,949.75
10/8/19,947
10/7/19,940.5
10/4/19,940.75
10/3/19,936.5
10/2/19,938.5
10/1/19,941.5
9/30/19,930
9/27/19,910
9/26/19,915
9/25/19,915
9/24/19,919
9/23/19,917
9/20/19,908.75
9/19/19,918.25
9/18/19,915.25
9/17/19,919.5
9/16/19,925.75
9/13/19,924
9/12/19,921.25
9/11/19,894
9/10/19,899
9/9/19,885.75
9/6/19,886
9/5/19,888.75
9/4/19,901.75
9/3/19,895
8/30/19,894.25
8/29/19,894
8/28/19,892
8/27/19,886.25
8/26/19,893.5
8/23/19,885.25
8/22/19,895.5
8/21/19,900.25
8/20/19,895.25
8/19/19,893.75
8/16/19,906.5
8/15/19,897
8/14/19,903.75
8/13/19,914
8/12/19,905.25
8/9/19,916
8/8/19,907.5
8/7/19,891.75
8/6/19,890.75
8/5/19,893.75
8/2/19,894.25
8/1/19,891.75
7/31/19,908.5
7/30/19,922.25
7/29/19,929.25
7/26/19,925.75
7/25/19,924.5
7/24/19,931
7/23/19,926.25
7/22/19,928.25
7/19/19,940.5
7/18/19,921.25
7/17/19,922.5
7/16/19,927.5
7/15/19,941
7/12/19,952
7/11/19,938.5
7/10/19,934.25
7/9/19,925.75
7/8/19,918.75
7/5/19,915.25
7/3/19,929
7/2/19,919.5
7/1/19,928.75
6/28/19,941.5
6/27/19,931.75
6/26/19,936.75
6/25/19,944.25
6/24/19,952
6/21/19,947
6/20/19,960.25
6/19/19,947.5
6/18/19,955.75
6/17/19,954.5
6/14/19,941
6/13/19,934
6/12/19,926.25
6/11/19,910.5
6/10/19,909
6/7/19,905.5
6/6/19,916.25
6/5/19,917.75
6/4/19,927.75
6/3/19,924
5/31/19,921.75
5/30/19,931.75
5/29/19,915.5
5/28/19,901.5
5/24/19,876
5/23/19,869.5
5/22/19,875.25
5/21/19,868.5
5/20/19,878.25
5/17/19,868
5/16/19,885.75
5/15/19,881.5
5/14/19,879.25
5/13/19,852.75
5/10/19,857.75
5/9/19,859.25
5/8/19,872.25
5/7/19,873.25
5/6/19,874.5
5/3/19,883.5
5/2/19,883.5
5/1/19,892.25
4/30/19,893.75
4/29/19,899.25
4/26/19,906.25
4/25/19,912
4/24/19,907.75
4/23/19,915
4/22/19,927.5
4/18/19,930.75
4/17/19,929.5
4/16/19,937.5
4/15/19,946.5
4/12/19,943.75
4/11/19,944.5
4/10/19,950.5
4/9/19,948
4/8/19,948.25
4/5/19,949
4/4/19,954.75
4/3/19,947.75
4/2/19,948.25
4/1/19,943
3/29/19,933.5
3/28/19,937
3/27/19,937.25
3/26/19,947.5
3/25/19,952.5
3/22/19,949.75
3/21/19,958.75
3/20/19,955
3/19/19,953.75
3/18/19,953.25
3/15/19,956.5
3/14/19,948.75
3/13/19,952
3/12/19,948.5
3/11/19,942
3/8/19,946
3/7/19,950.75
3/6/19,953.75
3/5/19,965
3/4/19,966.25
3/1/19,961
2/28/19,959
2/27/19,964
2/26/19,964
2/25/19,969.5
2/22/19,968.75
2/21/19,968.5
2/20/19,963.25
2/19/19,960.5
2/15/19,966.25
2/14/19,962.25
2/13/19,973.25
2/12/19,975
2/11/19,964.25
2/8/19,971
2/7/19,970.25
2/6/19,976.5
2/5/19,973.25
2/4/19,971.25
2/1/19,971
1/31/19,969.75
1/30/19,973.25
1/29/19,972
1/28/19,976
1/25/19,978
1/24/19,972.25
1/23/19,972.25
1/22/19,968
1/18/19,972.5
1/17/19,965.25
1/16/19,957
1/15/19,957
1/14/19,966
1/11/19,971.25
1/10/19,967
1/9/19,981.25
1/8/19,976
1/7/19,978
1/4/19,975
1/3/19,967
1/2/19,963
12/31/18,953.75