Date,May
11/1/19,960.75
10/31/19,957
10/30/19,955
10/29/19,957.75
10/28/19,958.75
10/25/19,957.5
10/24/19,968.25
10/23/19,968
10/22/19,968.5
10/21/19,967.5
10/18/19,967.5
10/17/19,965.25
10/16/19,963.25
10/15/19,967
10/14/19,972.25
10/11/19,968.5
10/10/19,959
10/9/19,959.5
10/8/19,956.75
10/7/19,950.25
10/4/19,950
10/3/19,946.25
10/2/19,948.25
10/1/19,949.25
9/30/19,939
9/27/19,920.5
9/26/19,925.5
9/25/19,924.75
9/24/19,928.5
9/23/19,926.5
9/20/19,919.25
9/19/19,928.75
9/18/19,926.25
9/17/19,930.25
9/16/19,936.5
9/13/19,934.75
9/12/19,932.25
9/11/19,906.25
9/10/19,910.75
9/9/19,898
9/6/19,897.5
9/5/19,899.75
9/4/19,912.5
9/3/19,905.75
8/30/19,904.5
8/29/19,904.75
8/28/19,902.75
8/27/19,897.25
8/26/19,904.25
8/23/19,897.25
8/22/19,907
8/21/19,911.75
8/20/19,906.75
8/19/19,905.5
8/16/19,917.5
8/15/19,908.25
8/14/19,915
8/13/19,925.25
8/12/19,917
8/9/19,927
8/8/19,918.5
8/7/19,903
8/6/19,902
8/5/19,905.25
8/2/19,905.75
8/1/19,903.5
7/31/19,920.5
7/30/19,933.25
7/29/19,939
7/26/19,935.75
7/25/19,934.5
7/24/19,940.5
7/23/19,935.25
7/22/19,937
7/19/19,948.75
7/18/19,930
7/17/19,931
7/16/19,936
7/15/19,948.5
7/12/19,958.5
7/11/19,946.5
7/10/19,942.5
7/9/19,934.75
7/8/19,927.75
7/5/19,924.75
7/3/19,938
7/2/19,928.5
7/1/19,936.5
6/28/19,947.75
6/27/19,938.75
6/26/19,942
6/25/19,949.5
6/24/19,957.25
6/21/19,952
6/20/19,964.5
6/19/19,951.25
6/18/19,957
6/17/19,957
6/14/19,946
6/13/19,941
6/12/19,934.25
6/11/19,920
6/10/19,918.5
6/7/19,914.5
6/6/19,923.5
6/5/19,924.75
6/4/19,934.5
6/3/19,930
5/31/19,928
5/30/19,937.25
5/29/19,922.75
5/28/19,910.75
5/24/19,887
5/23/19,880.75
5/22/19,885
5/21/19,878.5
5/20/19,888.5
5/17/19,878.25
5/16/19,896
5/15/19,892
5/14/19,891
5/13/19,865
5/10/19,869.5
5/9/19,871
5/8/19,882.5
5/7/19,884.25
5/6/19,886
5/3/19,894.25
5/2/19,894
5/1/19,901.75
4/30/19,902.5
4/29/19,907.75
4/26/19,914.5
4/25/19,920
4/24/19,916.25
4/23/19,923
4/22/19,934.5
4/18/19,938
4/17/19,937
4/16/19,944.75
4/15/19,953.5
4/12/19,950.5
4/11/19,951.5
4/10/19,957
4/9/19,954.75
4/8/19,955
4/5/19,955.5
4/4/19,960.75
4/3/19,954
4/2/19,954.5
4/1/19,948
3/29/19,938.25
3/28/19,942.25
3/27/19,942.5
3/26/19,952.5
3/25/19,957.5
3/22/19,954.75
3/21/19,964.25
3/20/19,960.5
3/19/19,960
3/18/19,959.75
3/15/19,962.5
3/14/19,955
3/13/19,958
3/12/19,954.75
3/11/19,948.5
3/8/19,952
3/7/19,956.5
3/6/19,960.25
3/5/19,971.5
3/4/19,972
3/1/19,966.25
2/28/19,964.75
2/27/19,969.25
2/26/19,969.5
2/25/19,974
2/22/19,973.5
2/21/19,974
2/20/19,968.75
2/19/19,966.5
2/15/19,972
2/14/19,968.25
2/13/19,978.5
2/12/19,980.75
2/11/19,969.75
2/8/19,976.25
2/7/19,976
2/6/19,982
2/5/19,978.25
2/4/19,976.5
2/1/19,976.25
1/31/19,975
1/30/19,978.25
1/29/19,977
1/28/19,980.25
1/25/19,983
1/24/19,977.25
1/23/19,977.75
1/22/19,974
1/18/19,979
1/17/19,971.75
1/16/19,964
1/15/19,964.5
1/14/19,972.75
1/11/19,977.75
1/10/19,973.25
1/9/19,987
1/8/19,982
1/7/19,983.5
1/4/19,980.75
1/3/19,973
1/2/19,970
12/31/18,961.75